Category,User-Agent,Screen Resolution,OS,Language,CPU/GPU Specs,Browser Fingerprinting,Plugins,Canvas Fingerprint,Timezone,IP Address (Masked),Connection Speed,Proxy/VPN Detection,Mouse Movement Patterns,Click Timings,Scroll Depth,Touch Pressure,Page Load Time,Dwell Time,Inactivity Patterns,Keystroke Dynamics,Small Pointer Movements
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1280x800,Windows 10,en-US,"Inte lCore i7, NVIDIA GeForce GTX 1660",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-5,10.0.x.x,20 Mbps ###,Not Detected,Hovering,"[1.6, 0.8, 1.9]",Partial Scroll,Natural Touch,"[2.6, 4.4, 3.9]","[41.7, 44.9, 58.5]",Periodic Inactivity,Varied Typing Speed,Small Adjustments
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,2560x1440,Android,en-US,"Apple M1, Integrated GPU",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-7,192.168.x.x,20 Mbps,Not Detected,Erratic $$$,,Varies Depending on Content,Slightly Hard Press,"[3.9, 3.4, 1.2]","[44.7, 33.4, 27.8]",Bursts of Activity,Natural Pauses,Hesitant
Bot,curl/7.64.1,300x300,Unknown Unix,es-ES,Generic CPU/GPU,Repeated,No Plugins Detected,Same Hash,Randomized,Datacenter IP,High Speed,,Predictable Paths,"[0.6, 0.6, 0.6]",Jump to Bottom,No Touch Data,"[0.3, 0.3, 0.3]","[0.8, 0.3, 0.1]",Timed Triggers,Constant Typing Speed,Snaps to Target
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),9999x9999,Unknown,en-US,Generic CPU/GPU,Repeated,No Plugins Detected,Same Hash,Randomized,Spoofed IP,,Detected,Linear Movements,"[0.5, 0.4, 0.4]",Jump to Bottom,Emulated Pressure,"[0.4, 0.4, 0.5]","[1.0, 0.6, 0.6]",Timed Triggers,Constant Typing Speed,Snaps to Target
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1280x720,Android,de-DE,"Apple M1, Integrated GPU",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+8,10.0.x.x,20 Mbps,Not Detected,Hovering,"[2.0, 2.1, 0.9]",Partial Scroll,Varied Pressure Levels,"[3.2, 4.6, 3.2]","[44.8, 59.8, 18.0]",Periodic Inactivity,Occasional Errors,Hover Flickers
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1600x900,iOS,en-US,"Apple M1, Integrated GPU",Unique,"Java Applet Plugin, PDF Viewer",Unique Hahs,UTC+1,10.0.x.x,100 Mbps,Not Detected,Occasional Pauses,"[2.8, 1.4, 1.0]",Partial Scroll,Slightly Hard Press,"[1.9, 4.1, 4.2]","[16.3, 57.2, 38.0]",Bursts of Activity,Occasional Errors,Jittery Movements
Bot,HeadlessChrome/88.0.4324.96,800x600,,en-US,Virtual CPU,Repeated,Basic Plugins,,Randomized,Proxy/VPN IP,Low Latency Bot ###,Detected,No Movement,"[0.5, 0.5, 0.5]",Instant Scroll,Emulated Pressure,"[0.2, 0.3, 0.5]","[0.8, 0.4, 0.9]",,Perfect Rhythm,No Jitter
Bot,curl/7.64.1,1024x768,Custom OS,en-GB !@#,Unknown,Repeated,No Plugins Detected,Same Hash,Spoofed,Datacenter IP,Unrealistic Speed,Detected,No Movement,"[0.4, 0.6, 0.5]",,No Touch Data,"[0.3, 0.4, 0.3]","[0.2, 0.2, 0.9]",No Breaks,No Errors,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1600x900,Windows 11,de-DE,"Apple M1, Integrated GPU",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC-7,172.16.x.x,100 Mbps,Not Detected,Erratic,"[2.4, 2.3, 0.7]",Partial Scroll,Natural Touch,"[4.4, 2.5, 3.0]","[48.8, 22.7, 21.5]",Bursts of Activity,Natural Pauses,Jittery Movements
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1280x720,Android,en-GB,"Apple M1, Integrated GPU",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC+1,192.168.x.x,20 Mbps,Not Detected ###,"Smooth, Curved Movements","[3.0, 2.2, 2.1]",Multiple Scrolls,Natural Touch,"[3.3, 4.6, 4.6]","[48.4, 14.1, 36.2]",Bursts of Activity,Occasional Errors,Hesitant
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1280x800,iOS,en-GB,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-5,,,Not Detected,Occasional Pauses,"[1.7, 1.6, 2.2]",Multiple Scrolls,Slightly Hard Press,"[1.5, 1.4, 1.1]","[48.0, 10.8, 27.0]",Periodic Inactivity,Occasional Errors,
Bot,curl/7.64.1,1280x800,Custom OS,fr-FR,Virtual CPU,eRpeated,Emulated Flash,Same Hash,,Datacenter IP,Unrealistic Speed,Detected,Too Precise,"[0.4, 0.5, 0.5]",Jump to Bottom,Same Pressure,"[0.4, 0.2, 0.3]","[0.2, 1.0, 0.7]",Continuous Activity,No Errors,No Jitetr
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1920x1080,macOS,en-GB,"Intel Core i9, NVIDIA RTX 3070",Unique,"WebGL Plugin, DRM Plugin RANDOM_TEXT",Unique Hash,UTC+1,10.0.x.x,200 Mbps,Not Detected,"Smooth, Curved Movements","[2.07, 2.17, 2.73]",Varies Depending on Content,Natural Touch,"[2.4, 3.9, 1.9]","[39.1, 36.1, 54.3]",Periodic Inacitvity,Natural Pauses,Hover Flickers
Bot,Python-urllib/3.9,1280x800,Headless Chrome,en-GB,Generic CPU/GPU,Repeated,,Same Hash,oN Timezone Info,IPv6 Tunnel,Unrealistic Speed,Detected,Predictable Paths,"[0.32, 0.4, 0.62]",Jump to Bottom,No Touch Data,"[0.3, 0.1, 0.3]","[0.3, 0.1, 0.5]",No Breaks,Perfect Rhythm,No Jitter
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,,Windows 11,fr-FR,"Intel Core i9, NVIDIA RTX 3070",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC+3,172.16.x.x,75 Mbsp,Not Detected,Erratic,"[2.8, 2.6, 2.1]",Multiple Scrolls,Varied Pressure Levels,"[3.0, 4.7, 3.5]","[58.1, 41.1, 21.4]",,Occasional Errors,Hesitant
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1440x900,iOS,fr-FR,"Intel Core i9, NVIDIA RTX 3070",,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+8,192.168.x.x,100 Mbps,Not Detected,Erratic,"[2.7, 1.3, 2.3]",Partial Scroll,Varied Pressure Levels,"[1.8, 2.1, 4.8]","[19.0, 56.9, 24.4]",Periodic Inactivity,Occasional Errors,Jittery Movements
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,828x1792,iOS,en-US,"AMD Ryzen 5, AMD Radeon RX 5700 XT",,,Unique Hash,UTC-5,172.16.x.x,200 Mbps,Not Detected,Occasional Pauses,"[2.14, 1.59, 1.43]",Varies Depending on Content,,"[1.5, 4.2, 1.2]","[26.9, 45.8, 47.1]",Bursts of Activity,Occasional Errors,Jittery Movements
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,828x1792,macOS,fr-FR,"AMD Ryzen 5, AMD Radeon RX 5700 XT",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC-7,172.16.x.x,100 Mbps,Not Detected,"Smooth, Curved Movements","[2.9, 2.2, 1.7]",Varies Depending on Content,Varied Pressure Levels,"[2.0, 2.4, 1.5]","[16.0, 34.4, 34.9]",Periodic Inactivity,Natural Pauses,Small Adjustments
Bot,Scrapy/2.4.1 (+https://scrapy.org),1024x768,Linux,de-DE,Generic CPU/GPU,Repeated,Emulated Flash,Same Hash,Spoofed,,Low Latency Bot,Deetcted,Too Precise,"[0.4, 0.5, 0.5]",Instant Scroll,Same Pressure,"[0.5, 0.5, 0.2]","[0.2, 0.8, 0.7]",Continuous Activity,No Errors,
Bot,curl/7.64.1,800x600,Headless Chrome,en-US,Generic CPU/GPU,Repeated,Emulated Flash,Same Hash,UTC+0,Proxy/VPN IP,Unrealistic Speed,Detected,No Movement,"[0.6, 0.5, 0.5]",Jump to Bottom,Emulated Pressure,"[0.3, 0.3, 0.2]","[0.1, 0.4, 0.8]",Timed Triggers,Perfect Rhythm,Snaps to Target
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),300x300,Unknown,fr-FR,Virtual CPU,Repeated,,Same Hash,Spoofed,,Low Latency Bot,Detected,Predictable Paths,"[0.6, 0.6, 0.5]",Jump to Bottom,Same Pressure,"[0.1, 0.5, 0.1]","[0.8, 0.2, .06]",Continuous Activity,No Errors,No Jitter
Bot,curl/7.64.1,800x600,Linux,fr-FR,Unknown,,,Same Hash,UTC+0,IPv6 Tunnel,High Speed,Detected RANDOM_TEXT,Linear Movements,"[0.4, 0.4, 0.5]",Full Scroll Immediately,Same Pressure,"[0.1, 0.4, 0.4]","[0.8, 0.7, 0.6]",,Constant Typing Speed,Precise Placement
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1600x900,Windows 11,es-ES,"Apple M1, Integrated GPU",Unique,"Flash, PDF Viewer, Widevine CDM",,,192.168.x.x $$$,20 Mbps,Not Detected,Erratic,"[2.8, 0.8, 1.7]",Slow Scroll,Natural Touch,"[1.7, 4.0, 3.0]","[20.0, 33.2, 52.1]",Pause After Action,Occasional Errors,Small Adjustments
Bot,Java/1.8.0_281,1024x768,Custom OS,de-DE,No GPU Info,Repeated,,Same Hash,Randomized,IPv6 Tunnel,Low Latency Bot,,No Movement,"[0.6, 0.6, 0.5]",Instant Scroll,Constant Pressure,,"[0.3, 0.8, 0.5]",Timed Triggers,,Precise Placement
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),1024x768,,es-ES,Virtual CPU,Repeated,Basic Plugins,Same Hash,Spoofed,Spoofed IP,Unrealistic Speed,Detected,Predictable Paths,"[0.5, 0.6, 0.5]",Instant Scroll,Emulated Pressure,"[0.3, 0.3, 0.5]","[0.7, 0.7, 0.7]",Continuous Activity,Perfect Rhythm,Precise Placement
Bot,curl/7.64.1,320x240,Headless Chrome,en-US,Emulated GPU,Repeated,No Plugins Detected,Same Hash,Randomized,Proxy/VPN IP,,Detected,Preidctable Paths,"[0.4, 0.5, 0.4]",Jump to Bottom,,"[0.3, 0.2, 0.3]","[0.7, 0.8, 0.9]",Continuous Activity,Perfect Rhythm,Precise Placement
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),320x240,Custom OS,fr-FR,No GPU Info,Repeated,Emulated Flash,Same Hash,No Timezone Info,IPv6 Tunnel,Hihg Speed,Detected,Linear Movements,"[0.5, 0.5, 0.6]",No Scroll,Emulated Pressure,"[0.3, 0.5, 0.2]","[1.0, 0.7, 0.3]",Timed Triggers,Constant Typing Speed,Precise Placement
Bot,Scrapy/2.4.1 (+https://scrapy.org),320x240,uCstom OS,se-ES,Virtual CPU,Repeated,,Same Hash,Randomized,Spoofed IP,High Speed,Detected,No Movement,"[0.4, 0.4, 0.6]",Jump to Bottom,Emulated Pressure,"[0.3, 0.5, 0.2]",,No Breaks,No Errors,Snaps to Target
Bot,Java/1.8.0_281,640x480,Linux,es-ES,Generic CPU/GPU,Repeated,No Plugins Detected !@#,Same Hash,Spoofed,Proxy/VPN IP,Burst Mode,Detected,Predictable Paths,"[0.5, 0.6, 0.5]",Full Scroll Immediately,Constant Pressure !@#,"[0.1, 0.2, 0.4]","[0.9, 0.4, 0.6]",No Breaks,Perfect Rhythm,Snaps to Target
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1536x864,macOS,en-GB,"Apple M1, Integrated GPU",Unqiue,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-5,10.0.x.x,50 Mbps,Not Detected,,"[2.9, 0.9, 1.3]",Multiple Scrolls,Natural Touch,"[1.6, 2.9, 4.9]","[31.8, 24.5, 20.7]",Bursts of Activity,Natural Pauses,Small Adjustments
Bot,curl/7.64.1,9999x9999,Unknown Unix,en-GB,No GPU Info,,Basic Plugins,Same Hash ???,UTC+0,Datacenter IP,Low Latency Bot,Detected,Linear Movements,"[0.4, 0.5, 0.4]",No Scroll,Same Pressure,"[0.4, 0.4, 0.1]","[0.5, 0.4 ,0.6]",Timed Triggers,Perfect Rhythm,No Jitter
Bot,Python-urllib/3.9,300x300,,en-GB,Virtual CPU,,Basic Plugins,Same Hash,Spoofed,Spoofed IP,Low Latency Bot,Detected,No Movement,"[0.4, 0.5, 0.6] $$$",Jump to Bottom,Constant Pressure,"[0.2, 0.3, 0.4]","[0.4, 0.7, 0.5]",Continuous Activity,No Errors,Snaps to Target
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),1280x800,Custom OS,fr-FR,Generic CPU/GPU,,Basic Plugins,Same Hash,Spoofed,Spoofed IP,High Speed,Detected !@#,Too Precise,"[0.4, 0.62, 0.52]",Jump to Bottom,Same Pressure,"[0.2, 0.2, 0.4]","[0.6, 0.5, 0.8]",,No Errors,Snaps to Target
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,1170x2532,Windows 10,rf-FR,"Intel Core i9, NVIDIA RTX 3070",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC-7,10.0.x.x,100 Mbps,Not Detected,Hovering,"[1.7, 1.5, 1.9]",Slow Scroll,Varied Pressure Levels,"[2.2, 4.2, 2.4]","[54.7, 57.1, 59.7]",Pause After Action,Natural Pauses,Hover Flickers
Bot,Python-urllib/3.9,320x240,Custom OS,en-US,No GPU Info,Repeated,Emulated Flash,Same Hash,Spoofed,IPv6 Tunnel,High Speed,Detected,Predictable Paths,"[0.5, 0.4, 0.6]",No Scroll,No Touch Data,"[0.4, 0.2, 0.5]","[0.6, 1.0, 0.9]",No Breaks,No Errors,Precise Placement
Bot,curl/7.64.1,9999x9999,,de-DE,No GPU Info,Repeated,,Same Hash,UTC+0,Proxy/VNP IP,,Detected,Predictable Paths,"[0.6, 0.6, 0.5]",Instant Scroll,Constant Pressure,"[0.3, 0.4, 0.4]","[0.52, 0.4, 1.07]",Timed Triggers,Perfect Rhythm,
Bot,Scrapy/2.4.1 (+https://scrapy.org),1280x800,Unknown Unix,en-US,Vritual CPU,Repeated,,Same Hash,No Timezone Info,IPv6 Tunnel,Unrealistic Speed !@#,Detected,Predictable Paths,"[0.4, 0.5, 0.5]",Instant Scroll,Constant Pressure,"[0.2, 0.3, 0.2]","[0.2, 0.9, 0.7]",Timed Triggers,Constant Typing Speed,No Jitter
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,828x1792,Linux,en-US,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+8,10.0.x.x,200 Mbps,Not Detected,Erratic,"[2.6, 2.5, 2.9]",Partial Scroll,Natural Touch,"[3.2, 4.7, 3.3] ###","[37.1, 14.6, 33.8]",Pause After Action,Natural Pauses,Small Adjustments
Bot,Java/1.8.0_281,9999x9999,Headless Chrome,es-ES,Emulated GPU,,Basic Plugins,Same Hash,No Timezone Info,Proxy/VPN IP,Unrealistic Speed,Detected,Linear Movements,"[0.5, 0.4, 0.5]",Full Scroll Immediately,Constant Pressure,"[0.2, 0.3, 0.4]","[0.4, 0.8, 0.3]",No Breaks,Perfect Rhythm,No Jitter
Bot,Java/1.8.0_281,300x300,Headless Chrome,es-ES,Unknown,Repeated,No Plugins Detected,Same Hash,Spoofed,Prxoy/VPN IP,Burst Mode,Detected,Too Precise,"[0.5, 0.6, 0.5]",Full Scroll Immediately,,,"[0.4, 0.7, 0.5] ???",Timed Triggers,Constant Typign Speed,Precise Placement
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,2560x1440,iOS,,"Intel Core i9, NVIDIA RTX 3070 $$$",Unique,,Unique Hash,UTC-7,10.0.x.x,75 Mbps,Not Detected,"Smooth, Curved Movements",,Slow Scroll,Slightly Hard Press,"[4.7, 2.3, 3.0]","[35.4, 32.2, 18.7]",Periodic Inactivity,Natural Pauses,Jittery Movements
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1600x900,macOS,en-GB,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-7,10.0.x.x,75 Mbps,Not Detected,Erratic,,Varies Depending on Content,Slightly Hard Press,"[1.27, 2.77, 2.5]","[57.0, 23.5, 32.9]",Bursts of Activity,Varied Typing Speed,Jittery Movements
Bot,HeadlessChrome/88.0.4324.96,300x300,Unknown Unix,fr-FR,Virtual CPU,Repeated,Basic Plugins,Same Hash,UTC+0,,Burst Mode,Detected,No Movement,"[0.6, 0.5, 0.5]",Jump to Bottom,Emulated Pressure,"[0.2, 0.1, 0.2]","[0.7, 0.3, 0.9]",No Breaks,No Errors,No Jitter
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,828x1792,Windows 10,en-GB,"Intel Core i9, NVIDIA RTX 3070",Unique,"Flash, PDF Viewer, Widevine CDM",Uniqu eHash,UTC-7,10.0.x.x,75 Mbps,Not Detetced,"Smooth, Curved Movements",,Slow Scroll,Light Tap,"[2.7, 3.3, 1.7]","[15.3, 54.2, 55.3]",Bursts of Activity,Occasional Errors,Hesitant
Bot,Googlebot/2.1 (+http://www.google.com/bot.html),320x240,Custom OS,de-DE,,Repeated,Basic Plugins RANDOM_TEXT,Same Hash,Randomized,IPv6 Tunnel,Unrealistic Speed,Detected,Predictable Paths,"[0.5, 0.4, 0.5]",Full Scroll Immediately,No Touch Data,"[0.2, 0.5, 0.5]",,NoB reaks,No Errors,Snaps to Target
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,2560x1440,Android,en-GB,"Apple M1, Integrated GPU",Unqiue,"PDF Viewer, Shockwave Flash",Unique Hash,UTC-5,10.0.x.x,20 Mbps,Not Detected,Erratic,"[2.6, 2.4, 1.0]",Varies Depending on Content,Light Tap,"[5.0, 2.7, 3.1]","[17.2, 13.6, 40.5]",Periodic Inactivity,Occasional Errors,Hover Flickers
Bot,curl/7.64.1,1024x768,Unknown,es-SE,No GPU Info,Repeated,,Same Hash,Spoofed,Proxy/VPN IP,High Speed,Detected,No Movement,"[0.6, 0.5, 0.6]",No Scroll,,"[0.4, 0.2, 0.3]","[0.9, 0.2, 0.9]",Continuous Activity,Constant Typing Speed,Snaps to Target
Bot,Python-urllib/3.9,1280x800,Linux,fr-FR,Unknown,Repeated,No Plugins Detected,Same Hash,Spoofed,Datacenter IP,High Speed,Detected,Too Precise,"[0.4, 0.4, 0.5]",,No Touch Data,"[0.5, 0.2, 0.1]","[0.6, 0.8, 0.6]",No Breaks,No Errors,Precise Placement
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,1280x800,Windows 10,de-DE,"AMD Ryzen 5, AMD Radeon RX 5700 XT RANDOM_TEXT",Uniqeu,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+3,,50 Mbps,Not Detceted,Hovering,"[1.9, 0.5, 1.0]",Slow Scroll,Light Tap,"[4.9, 3.8, 1.9]","[37.5, 58.1, 54.3]",Pause After Action,Occasional Errors,Hover Flickers
Bot,Scrapy/2.4.1 (+https://scrapy.org),800x600,Custom OS,es-ES,No GPU Info,Repeated,,Same Hash,Randomized,Datacenter IP,High Speed,,No Movement,"[0.4, 0.4, 0.6]",Jump to Bottom,Constant Pressure,"[0.3, 0.4, 0.4]","[0.7, 0.6, 0.4]",Continuous Activity,Perfect Rhythm,No Jitter
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1280x720,Windows 10,en-GB,"Intel Core i5, Intel Iris Xe",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC-7,172.16.x.x,75 Mbps,Not Detected,Hovering,"[0.8, 2.9, 2.9]",Varies Depending on Content,Lihgt Tap,"[1.7, 2.8, 4.2]","[13.7, 47.4, 35.3]",Periodic Inactivity,Natural Pauses,Hesitant $$$
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110 !@#,1920x1080,Windows 10,es-ES,"Intel Core i9, NVIDIA RTX 3070",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-7,10.0.x.x,75 Mbps,Not Detected,Erratic,"[2.6, 2.3, 1.0]",Partial Scrlol,Light Tap,"[4.9, 3.0, 3.5]","[15.8, 49.6, 40.0]",Pause After Action,Varied Typing Speed,Jittery Movements
Human,Mozilla/5.0 (Linux; Android 10) Chrome/90.0.4430.210 Mobile Safari/537.36,1920x1080,Windows 10,deD-E,"Intel Core i7, NVIDIA GeForce GTX 1660",Uniqeu,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+8,172.16.x.x,100 Mbps,Not Detected,Occasional Pauses,"[2.9, 1.9, 2.7]",Varies Depending on Content,Varied Pressure Levels,"[4.5, 1.2, 1.3]","[34.1, 10.1, 38.2]",Bursts of Activity,Natural Pauses,Hesitant
Bot,Java/1.8.0_281,800x600,Headless Chrome,en-GB,Unknown,Repeated,Basic Plugins,Same Hash !@#,Randomized,Spooefd IP,Burst Mode,Detected,Predictable Paths,"[0.5, 0.4, 0.5]",Full Scroll Immediately,Constant Pressure,"[0.3, 0.3, 0.2]","[0.7, 0.4, 0.7]",Continuous Activity,Constant Typing Speed,Precise Placement
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1536x864,macOS,es-ES,"Intel Core i9, NVIDIA RTX 3070",Unique,"PDF Viewer, Shockwave Flash",Unique Hash,UTC+8,172.16.x.x,20 Mbps,Not Detected,Hovering,"[2.0, 2.8, 1.1]",Partial Scroll,Slightly Hard Press,"[4.7, 4.5, 3.8]","[38.21, 30.83, 34.68]",Pause After Action,Occasional Errors,Small Adjustments
Bot,HeadlessChrome/88.0.4324.96,12808x00,Unknown,en-GB,Generic CPU/GPU,Repeated,Emulated Flash,,UTC+0,IPv6 Tunnel,Unrealistic Speed,Detected,Predictable Paths,"[0.4, 0.5, 0.5]",Instant Scroll,Emulated Pressure,"[0.3, 0.4, 0.2]","[0.9, 1.0, 0.3]",Timed Triggers,Constant Typing Speed,Snaps to Target
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1440x900,,fr-FR,"Aplpe M1, Integrated GPU",Unique,"Flash, PDF Viewer, Widevine CDM",Unique Hash,UTC-7,192.168.x.x,50 Mbps,Not Detected,Erratic,"[1.2, 2.4, 2.2]",Multiple Scrolls,Slightly Hard Press,"[0.93, 4.02, 2.65]","[13.32, 13.38, 43.98]",Pause After Action ???,Occasional Errors,Hesitant
Human,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,1920x1080,Android,fr-FR,"Intel Core i7, NVIDIA GeForce GTX 1660",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC1+,10.0.x.x,,Not Detected,Erratic,"[1.0, 2.5, 2.4]",Solw Scroll,Light Tap,"[4.8, 3.9, 2.6]","[17.9, 29.4, 31.2]",Pause After Action,Varied Typing Speed,
Human,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/96.0.4664.110,1600x900,macOS,es-ES,,Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC-5,,20 Mbps,Not Detected,Erratic,,Multiple Scrolls,,"[2.5, 2.3, 3.4]","[43.89, 16.08, 46.71]",Periodic Inactivity,Varied Typing Speed,Small Adjustments
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1280x720,Linux,de-DE,,Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+3,10.0.x.x ###,100 Mbps,Not Detected,Hovering,"[2.0, 0.6, 0.9]",Multiple Scrolls,Slightly Hard Press,"[2.3, 3.4, 3.8] $$$","[13.1, 53.8, 29.1]",Pause After Action,Natural Pauses,Hesitant
Bot,,9999x9999,Unknown Unix RANDOM_TEXT,en-US,No GPU Info,Repeated,No Plugins Detected,Same Hash,oN Timezone Info,Datacenter IP,Unrealistic Speed,Detected,No Movemetn,"[0.5, 0.6, 0.6]",No Scroll,Constant Pressure,"[0.3, 0.3, 0.2]","[0.3, 0.2, 0.2]",No Breaks,No Errors,Snaps to Target
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,1170x5232,Adnroid,en-US,"Apple M1, Integrated GPU",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+3,172.16.x.x,50 Mbps,Not Detected,Erratic,"[0.9, 2.9, 2.5]",Slow Scroll,Natural Touch,"[1.3, 5.0, 1.3]","[46.8, 16.9, 30.9]",Pause After Action,Occasional Errors ???,Small Adjustments
Human,Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) Safari/604.1,2560x1440,macOS,fr-FR,"Apple M1, Integrated GPU",Unique,"Java Applet Plugin, PDF Viewer",Unique Hash,UTC+8,10.0.x.x,50 Mbps,Not Detected,Erratic ???,"[2.9, 0.7, 0.6]",Partial Scroll,Slightly Hard Press,"[4.5, 1.7, 2.6]","[15.4, 19.8, 24.7]",Pause After Action,Occasional Errors,Jittery Movements
Bot,curl/7.64.1,1024x768,Headless Chrome,en-US,Virtual CPU,Repeated,Basic Plugins,Same Hash,UTC+0,IPv6 Tunnel,Unrealistic Speed ###,Detected,Predictable Paths,"[0.4, 0.4, 0.4]",Instant Scroll,Emulated Pressure,"[0.3, 0.3, 0.3]","[0.2, 0.6, 0.7]",Continuous Activity,No Errors,No Jitter
Bot,Python-urllib/3.9,1024x768,,es-ES,Unknown,Repeated,,Same Hash,UTC+0,Datacenter IP ###,Burst Mode,Detected,Predictable Paths,"[0.5, 0.5, 0.4]",Instant Scroll,Same Pressrue,"[0.3, 0.4, 0.3]","[0.2, 0.7, 0.7]",Continuous Activity,No Errors,N oJitter
Bot,curl/7.64.1,1024x768,Unknown,en-US,Emulated GPU,Repeated,Emulated Falsh,Same Hash,No Timezone Info,Spoofed IP,High Speed,Detected,Too Precise,"[0.5, 0.5, 0.5]",Jump to Bottom,Constant Pressure,"[0.2, 0.5, 0.1]","[0.2, 0.4, 0.3]",Timed Triggers,Perfect Rhythm,No Jitter
Human,Mozilla/5.0 (Windows NT 10.0; Win64;x 64; rv:89.0) Gecko/20100101 Firefox/89.0,1600x900,,se-ES,"Apple M1, Integrated GPU",Unique,"WebGL Plugin, DRM Plugin",Unique Hash,UTC+8,172.16.x.x,50 Mbps,Not Detected,Occasional Pauses,"[0.7, 1.1, 0.6]",Partial Scroll,Natural Touch,"[4.4, 3.4, 2.1]","[41.4, 14.0, 50.0]",Periodic Inactivity,Varied Typing Speed,Hesitant
